location1,location2,location3,rssi1,rssi2,rssi3,rssi4,rssi5
1,1,a0,219.4,186.0,196.6,193.6,200.2
1,1,a0,221.6,192.4,196.6,194.8,195.4
1,1,a0,220.0,190.0,198.4,189.4,190.0
1,1,a0,230.2,190.6,191.2,192.4,191.8
1,1,a0,222.6,195.4,191.8,195.4,195.4
1,1,a0,214.2,185.8,192.4,194.2,195.4
1,1,a0,212.2,182.8,194.2,190.0,195.4
1,1,a0,211.0,190.6,191.8,192.4,191.8
1,1,a0,222.4,180.4,195.4,186.4,193.0
1,1,a1,215.8,192.4,196.0,196.0,200.8
1,1,a1,225.4,181.6,192.4,190.0,191.8
1,1,a1,207.4,182.2,189.4,193.0,193.6
1,1,a1,214.8,185.8,185.8,193.6,190.0
1,1,a1,211.6,184.0,187.6,197.2,195.4
1,1,a1,207.4,179.8,180.25,188.2,193.6
1,1,a1,214.8,186.4,193.0,194.2,198.4
1,1,a1,219.6,187.6,190.0,193.6,189.4
1,1,a1,212.8,192.4,190.0,191.8,190.0
1,2,a2,198.4,185.8,188.8,190.6,197.2
1,2,a2,214.6,187.0,186.4,191.8,200.8
1,2,a2,188.8,181.0,181.0,187.0,199.0
1,2,a2,191.4,185.8,186.4,190.2,201.2
1,2,a2,205.8,187.0,189.4,188.2,193.6
1,2,a2,202.0,184.0,179.2,185.8,192.4
1,2,a2,199.0,194.8,186.4,192.4,192.4
1,2,a2,191.8,192.4,189.4,200.0,201.4
1,2,a2,210.4,191.2,186.4,194.8,197.8
1,2,a3,200.8,184.0,187.6,195.0,193.6
1,2,a3,195.4,191.8,182.0,189.4,199.6
1,2,a3,202.0,179.8,179.8,185.8,194.8
1,2,a3,192.6,187.6,185.4,189.4,193.6
1,2,a3,192.4,188.8,187.0,187.6,187.0
1,2,a3,202.0,190.2,189.4,185.4,192.4
1,2,a3,190.2,192.2,178.0,186.4,197.6
1,2,a3,199.6,196.0,182.8,186.4,196.6
1,2,a3,199.0,182.8,186.4,188.8,195.6
1,1,b0,214.8,184.0,185.2,183.4,192.2
1,1,b0,202.0,179.8,185.2,186.4,192.4
1,1,b0,210.6,181.6,184.6,185.8,198.25
1,1,b0,202.6,201.0,189.4,190.5,187.6
1,1,b0,206.2,179.8,185.2,182.8,186.4
1,1,b0,219.4,187.0,190.0,185.2,196.6
1,1,b0,196.6,184.4,188.2,185.8,191.8
1,1,b0,207.0,186.4,182.2,185.8,191.8
1,1,b0,202.0,186.25,187.6,183.4,179.8
1,1,b1,215.8,191.8,195.4,191.8,202.0
1,1,b1,218.71,184.0,196.0,193.0,201.4
1,1,b1,214.6,186.4,193.0,186.4,195.0
